Debug:  F:() L:(0) 	(2022-05-27 10:56:40) 	App begin
Warning:  F:(qrc:/qmls/Component/LittleWindow.qml) L:(51) 	(2022-05-27 10:56:56) 	qrc:/qmls/Component/LittleWindow.qml:51:13: Unable to assign double to QFont
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-27 10:56:57) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(32) 	(2022-05-27 10:56:57) 	qrc:/qmls/Component/MyComboBox.qml:32: ReferenceError: control is not defined
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-27 10:56:57) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(-1) 	(2022-05-27 10:56:57) 	qrc:/qmls/Component/MyComboBox.qml: ReferenceError: control is not defined
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-27 10:56:57) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(-1) 	(2022-05-27 10:56:57) 	qrc:/qmls/Component/MyComboBox.qml: ReferenceError: control is not defined
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-27 10:56:57) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(-1) 	(2022-05-27 10:56:57) 	qrc:/qmls/Component/MyComboBox.qml: ReferenceError: control is not defined
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-27 10:56:57) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-27 10:56:57) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(-1) 	(2022-05-27 10:56:57) 	qrc:/qmls/Component/MyComboBox.qml: ReferenceError: control is not defined
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(-1) 	(2022-05-27 10:56:57) 	qrc:/qmls/Component/MyComboBox.qml: ReferenceError: control is not defined
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-27 10:56:59) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(-1) 	(2022-05-27 10:56:59) 	qrc:/qmls/Component/MyComboBox.qml: ReferenceError: control is not defined
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-27 10:56:59) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(-1) 	(2022-05-27 10:56:59) 	qrc:/qmls/Component/MyComboBox.qml: ReferenceError: control is not defined
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-27 10:56:59) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(-1) 	(2022-05-27 10:56:59) 	qrc:/qmls/Component/MyComboBox.qml: ReferenceError: control is not defined
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-27 10:56:59) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(-1) 	(2022-05-27 10:56:59) 	qrc:/qmls/Component/MyComboBox.qml: ReferenceError: control is not defined
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-27 10:56:59) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(-1) 	(2022-05-27 10:56:59) 	qrc:/qmls/Component/MyComboBox.qml: ReferenceError: control is not defined
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-27 10:56:59) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(-1) 	(2022-05-27 10:56:59) 	qrc:/qmls/Component/MyComboBox.qml: ReferenceError: control is not defined
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-27 10:57:00) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(-1) 	(2022-05-27 10:57:00) 	qrc:/qmls/Component/MyComboBox.qml: ReferenceError: control is not defined
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-27 10:57:00) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(-1) 	(2022-05-27 10:57:00) 	qrc:/qmls/Component/MyComboBox.qml: ReferenceError: control is not defined
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-27 10:57:00) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(-1) 	(2022-05-27 10:57:00) 	qrc:/qmls/Component/MyComboBox.qml: ReferenceError: control is not defined
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-27 10:57:00) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(-1) 	(2022-05-27 10:57:00) 	qrc:/qmls/Component/MyComboBox.qml: ReferenceError: control is not defined
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-27 10:57:00) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(-1) 	(2022-05-27 10:57:00) 	qrc:/qmls/Component/MyComboBox.qml: ReferenceError: control is not defined
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-27 10:57:00) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(-1) 	(2022-05-27 10:57:00) 	qrc:/qmls/Component/MyComboBox.qml: ReferenceError: control is not defined
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-27 10:57:02) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(-1) 	(2022-05-27 10:57:02) 	qrc:/qmls/Component/MyComboBox.qml: ReferenceError: control is not defined
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-27 10:57:02) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(-1) 	(2022-05-27 10:57:02) 	qrc:/qmls/Component/MyComboBox.qml: ReferenceError: control is not defined
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-27 10:57:02) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(-1) 	(2022-05-27 10:57:02) 	qrc:/qmls/Component/MyComboBox.qml: ReferenceError: control is not defined
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-27 10:57:02) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(-1) 	(2022-05-27 10:57:02) 	qrc:/qmls/Component/MyComboBox.qml: ReferenceError: control is not defined
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-27 10:57:02) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(-1) 	(2022-05-27 10:57:02) 	qrc:/qmls/Component/MyComboBox.qml: ReferenceError: control is not defined
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-27 10:57:02) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(-1) 	(2022-05-27 10:57:02) 	qrc:/qmls/Component/MyComboBox.qml: ReferenceError: control is not defined
Debug:  F:(qrc:/qmls/Page/IntoLogin.qml) L:(170) 	(2022-05-27 10:57:17) 	insert message is  高中生
Debug:  F:(qrc:/qmls/Page/IntoLogin.qml) L:(171) 	(2022-05-27 10:57:17) 	test
Debug:  F:(qrc:/qmls/Page/IntoLogin.qml) L:(172) 	(2022-05-27 10:57:17) 	13424324243
Debug:  F:(qrc:/qmls/Page/IntoLogin.qml) L:(173) 	(2022-05-27 10:57:17) 	123456
Debug:  F:(qrc:/qmls/Page/IntoLogin.qml) L:(174) 	(2022-05-27 10:57:17) 	123456
Warning:  F:() L:(0) 	(2022-05-27 10:57:17) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:() L:(0) 	(2022-05-27 10:57:17) 	The id is =  ""
Debug:  F:(qrc:/qmls/Page/IntoLogin.qml) L:(199) 	(2022-05-27 10:57:17) 	The res =  true
Debug:  F:() L:(0) 	(2022-05-27 10:57:17) 	insert message "13424324243  高中生  test  123456"
Debug:  F:() L:(0) 	(2022-05-27 10:57:17) 	error : QSqlError("19", "Unable to fetch row", "UNIQUE constraint failed: usertable.userID")
Debug:  F:(qrc:/qmls/Page/IntoLogin.qml) L:(230) 	(2022-05-27 10:57:18) 	The result is =  true
Debug:  F:(qrc:/qmls/Page/IntoLogin.qml) L:(170) 	(2022-05-27 10:57:23) 	insert message is  高中生
Debug:  F:(qrc:/qmls/Page/IntoLogin.qml) L:(171) 	(2022-05-27 10:57:23) 	test1
Debug:  F:(qrc:/qmls/Page/IntoLogin.qml) L:(172) 	(2022-05-27 10:57:23) 	13424324243
Debug:  F:(qrc:/qmls/Page/IntoLogin.qml) L:(173) 	(2022-05-27 10:57:23) 	123456
Debug:  F:(qrc:/qmls/Page/IntoLogin.qml) L:(174) 	(2022-05-27 10:57:23) 	123456
Warning:  F:() L:(0) 	(2022-05-27 10:57:23) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:() L:(0) 	(2022-05-27 10:57:23) 	The id is =  ""
Debug:  F:(qrc:/qmls/Page/IntoLogin.qml) L:(199) 	(2022-05-27 10:57:23) 	The res =  true
Debug:  F:() L:(0) 	(2022-05-27 10:57:23) 	insert message "13424324243  高中生  test1  123456"
Debug:  F:() L:(0) 	(2022-05-27 10:57:23) 	The sno is =  3
Debug:  F:(qrc:/qmls/Page/IntoLogin.qml) L:(215) 	(2022-05-27 10:57:23) 	login success
Debug:  F:() L:(0) 	(2022-05-27 10:57:23) 	The id is =  3
Debug:  F:() L:(0) 	(2022-05-27 10:57:23) 	The tablename is =  "allWords3"
Debug:  F:() L:(0) 	(2022-05-27 10:57:23) 	The id is =  3
Debug:  F:() L:(0) 	(2022-05-27 10:57:23) 	insert into success!
Warning:  F:(qrc:/qmls/Component/InputEdit.qml) L:(43) 	(2022-05-27 10:57:23) 	qrc:/qmls/Component/InputEdit.qml:43:9: Unable to assign double to QFont
Warning:  F:(qrc:/qmls/Component/InputEdit.qml) L:(43) 	(2022-05-27 10:57:23) 	qrc:/qmls/Component/InputEdit.qml:43:9: Unable to assign double to QFont
Warning:  F:(qrc:/qmls/Component/LittleWindow.qml) L:(51) 	(2022-05-27 10:57:23) 	qrc:/qmls/Component/LittleWindow.qml:51:13: Unable to assign double to QFont
Warning:  F:(qrc:/qmls/Component/InputEdit.qml) L:(43) 	(2022-05-27 10:57:31) 	qrc:/qmls/Component/InputEdit.qml:43:9: Unable to assign double to QFont
Warning:  F:(qrc:/qmls/Component/InputEdit.qml) L:(43) 	(2022-05-27 10:57:31) 	qrc:/qmls/Component/InputEdit.qml:43:9: Unable to assign double to QFont
Warning:  F:(qrc:/qmls/Component/LittleWindow.qml) L:(51) 	(2022-05-27 10:57:31) 	qrc:/qmls/Component/LittleWindow.qml:51:13: Unable to assign double to QFont
Warning:  F:(qrc:/main.qml) L:(116) 	(2022-05-27 10:57:31) 	qrc:/main.qml:116:31: QML PhoneLogin: StackView has detected conflicting anchors. Transitions may not execute properly.
Warning:  F:(qrc:/main.qml) L:(116) 	(2022-05-27 10:57:32) 	qrc:/main.qml:116:31: QML PhoneLogin: StackView has detected conflicting anchors. Transitions may not execute properly.
Debug:  F:() L:(0) 	(2022-05-27 10:57:33) 	The password is =  "123456"
Debug:  F:() L:(0) 	(2022-05-27 10:57:33) 	The id is =  "18036196029"
Debug:  F:() L:(0) 	(2022-05-27 10:57:33) 	The id is =  "大学生"
Debug:  F:() L:(0) 	(2022-05-27 10:57:33) 	The id is =  1
Debug:  F:(qrc:/qmls/Page/IntoPage.qml) L:(295) 	(2022-05-27 10:57:33) 	userId is : 20182621  -  123456  -  123456 - allWords1
Debug:  F:(qrc:/qmls/Page/IntoPage.qml) L:(99) 	(2022-05-27 10:57:33) 	The res =  true
Warning:  F:(qrc:/qmls/Page/EnterPage.qml) L:(59) 	(2022-05-27 10:57:33) 	qrc:/qmls/Page/EnterPage.qml:59:5: QML Rectangle: Cannot anchor a vertical edge to a horizontal edge.
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(29) 	(2022-05-27 10:57:33) 	qrc:/qmls/Component/MyComboBox.qml:29:22: QML QQuickText: Binding loop detected for property "leftPadding"
Debug:  F:(qrc:/qmls/Page/RemeberPage.qml) L:(55) 	(2022-05-27 10:57:33) 	The page is load!!!
Debug:  F:() L:(0) 	(2022-05-27 10:57:33) 	The sno is =  1
Debug:  F:(qrc:/qmls/Page/RemeberPage.qml) L:(59) 	(2022-05-27 10:57:33) 	read from db is =  10  and  1
Debug:  F:() L:(0) 	(2022-05-27 10:57:33) 	the time is =  "2022-05-27"  and  1
Debug:  F:() L:(0) 	(2022-05-27 10:57:33) 	The result of it is =  0  and  0
Debug:  F:() L:(0) 	(2022-05-27 10:57:33) 	the time is =  "2022-05-27"  and  1
Debug:  F:() L:(0) 	(2022-05-27 10:57:33) 	The result of it is =  0  and  0
Warning:  F:(qrc:/qmls/Component/MyComboBox.qml) L:(-1) 	(2022-05-27 10:57:33) 	qrc:/qmls/Component/MyComboBox.qml: ReferenceError: control is not defined
Warning:  F:(qrc:/qmls/Component/LittleWindow.qml) L:(51) 	(2022-05-27 10:57:33) 	qrc:/qmls/Component/LittleWindow.qml:51:13: Unable to assign double to QFont
Debug:  F:(qrc:/qmls/Page/IntoPage.qml) L:(109) 	(2022-05-27 10:57:33) 	config sno =  1  and  1
Debug:  F:(qrc:/qmls/Component/SearchEdit.qml) L:(62) 	(2022-05-27 10:57:46) 	aaaa: 1
Debug:  F:() L:(0) 	(2022-05-27 10:57:46) 	The word is =  "apartness"
Debug:  F:() L:(0) 	(2022-05-27 10:57:46) 	word context : =  "393969"
Debug:  F:() L:(0) 	(2022-05-27 10:57:46) 	word context : =  "apartness"
Debug:  F:() L:(0) 	(2022-05-27 10:57:46) 	word context : =  "/?'pɑrtn?s/"
Debug:  F:() L:(0) 	(2022-05-27 10:57:46) 	word context : =  "n. 冷漠"
Debug:  F:() L:(0) 	(2022-05-27 10:57:46) 	word context : =  "4"
Debug:  F:() L:(0) 	(2022-05-27 10:57:46) 	word context : =  "9"
Debug:  F:() L:(0) 	(2022-05-27 10:57:46) 	word context : =  ""
Debug:  F:() L:(0) 	(2022-05-27 10:57:46) 	word context : =  ""
Debug:  F:() L:(0) 	(2022-05-27 10:57:46) 	word context : =  ""
Debug:  F:() L:(0) 	(2022-05-27 10:57:46) 	word context : =  ""
Debug:  F:() L:(0) 	(2022-05-27 10:57:46) 	word context : =  "0"
Debug:  F:() L:(0) 	(2022-05-27 10:57:46) 	word context : =  "0"
Debug:  F:() L:(0) 	(2022-05-27 10:57:46) 	word context : =  "0"
Debug:  F:() L:(0) 	(2022-05-27 10:57:46) 	word context : =  "0"
Warning:  F:() L:(0) 	(2022-05-27 10:57:46) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:(qrc:/qmls/Component/SearchEdit.qml) L:(65) 	(2022-05-27 10:57:46) 	really??? =  apartness
Debug:  F:() L:(0) 	(2022-05-27 10:57:46) 	STAT TO VOICE
Debug:  F:() L:(0) 	(2022-05-27 10:57:46) 	The string is =  "apartness"
Debug:  F:(qrc:/qmls/Page/ShowWordPage.qml) L:(332) 	(2022-05-27 10:57:46) 	is collect =  true
Debug:  F:(qrc:/qmls/Page/ShowWordPage.qml) L:(332) 	(2022-05-27 10:57:46) 	is collect =  true
Debug:  F:(qrc:/qmls/Page/ShowWordPage.qml) L:(315) 	(2022-05-27 10:57:46) 	The target word  is =  apartness
Debug:  F:() L:(0) 	(2022-05-27 10:57:46) 	The word is =  "apartness"
Warning:  F:() L:(0) 	(2022-05-27 10:57:46) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:() L:(0) 	(2022-05-27 10:57:46) 	word context : =  ""
Warning:  F:() L:(0) 	(2022-05-27 10:57:46) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:(qrc:/qmls/Page/ShowWordPage.qml) L:(315) 	(2022-05-27 10:57:46) 	The target word  is =  apartness
Debug:  F:() L:(0) 	(2022-05-27 10:57:46) 	The word is =  "apartness"
Warning:  F:() L:(0) 	(2022-05-27 10:57:46) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:() L:(0) 	(2022-05-27 10:57:46) 	word context : =  ""
Warning:  F:() L:(0) 	(2022-05-27 10:57:46) 	QSqlQuery::value: not positioned on a valid record
Warning:  F:(qrc:/main.qml) L:(106) 	(2022-05-27 10:57:46) 	qrc:/main.qml:106:33: QML ShowWordPage: StackView has detected conflicting anchors. Transitions may not execute properly.
Debug:  F:() L:(0) 	(2022-05-27 10:57:46) 	context is =  ""
Warning:  F:(qrc:/main.qml) L:(106) 	(2022-05-27 10:57:50) 	qrc:/main.qml:106:33: QML ShowWordPage: StackView has detected conflicting anchors. Transitions may not execute properly.
Debug:  F:(qrc:/qmls/Component/SearchEdit.qml) L:(62) 	(2022-05-27 10:57:53) 	aaaa: 1
Debug:  F:() L:(0) 	(2022-05-27 10:57:53) 	The word is =  "have"
Debug:  F:() L:(0) 	(2022-05-27 10:57:53) 	word context : =  "19649"
Debug:  F:() L:(0) 	(2022-05-27 10:57:53) 	word context : =  "have"
Debug:  F:() L:(0) 	(2022-05-27 10:57:53) 	word context : =  "/h?v/"
Debug:  F:() L:(0) 	(2022-05-27 10:57:53) 	word context : =  "v. 有，持有，具有；吃；做（某事）；（have to）必须，不得不；拿，取得；  aux. 现在完成式；  n. 〈口〉有产者，有钱人，富国，〈英俚〉欺骗，诈骗"
Debug:  F:() L:(0) 	(2022-05-27 10:57:53) 	word context : =  "1"
Debug:  F:() L:(0) 	(2022-05-27 10:57:53) 	word context : =  "4"
Debug:  F:() L:(0) 	(2022-05-27 10:57:53) 	word context : =  "26"
Debug:  F:() L:(0) 	(2022-05-27 10:57:53) 	word context : =  "{\"word_third\": [\"has\"], \"word_done\": [\"had\"], \"word_pl\": \"\", \"word_est\": \"\", \"word_ing\": [\"having\"], \"word_er\": \"\", \"word_past\": [\"had\"]}"
Debug:  F:() L:(0) 	(2022-05-27 10:57:53) 	word context : =  ""
Debug:  F:() L:(0) 	(2022-05-27 10:57:53) 	word context : =  ""
Debug:  F:() L:(0) 	(2022-05-27 10:57:53) 	word context : =  "0"
Debug:  F:() L:(0) 	(2022-05-27 10:57:53) 	word context : =  "0"
Debug:  F:() L:(0) 	(2022-05-27 10:57:53) 	word context : =  "0"
Debug:  F:() L:(0) 	(2022-05-27 10:57:53) 	word context : =  "0"
Warning:  F:() L:(0) 	(2022-05-27 10:57:53) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:(qrc:/qmls/Component/SearchEdit.qml) L:(65) 	(2022-05-27 10:57:53) 	really??? =  have
Debug:  F:() L:(0) 	(2022-05-27 10:57:53) 	STAT TO VOICE
Debug:  F:() L:(0) 	(2022-05-27 10:57:53) 	The string is =  "have"
Debug:  F:(qrc:/qmls/Page/ShowWordPage.qml) L:(332) 	(2022-05-27 10:57:53) 	is collect =  true
Debug:  F:(qrc:/qmls/Page/ShowWordPage.qml) L:(332) 	(2022-05-27 10:57:53) 	is collect =  true
Debug:  F:(qrc:/qmls/Page/ShowWordPage.qml) L:(315) 	(2022-05-27 10:57:53) 	The target word  is =  have
Debug:  F:() L:(0) 	(2022-05-27 10:57:53) 	The word is =  "have"
Warning:  F:() L:(0) 	(2022-05-27 10:57:53) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:() L:(0) 	(2022-05-27 10:57:53) 	word context : =  ""
Warning:  F:() L:(0) 	(2022-05-27 10:57:53) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:(qrc:/qmls/Page/ShowWordPage.qml) L:(315) 	(2022-05-27 10:57:53) 	The target word  is =  have
Debug:  F:() L:(0) 	(2022-05-27 10:57:53) 	The word is =  "have"
Warning:  F:() L:(0) 	(2022-05-27 10:57:53) 	QSqlQuery::value: not positioned on a valid record
Debug:  F:() L:(0) 	(2022-05-27 10:57:53) 	word context : =  ""
Warning:  F:() L:(0) 	(2022-05-27 10:57:53) 	QSqlQuery::value: not positioned on a valid record
Warning:  F:(qrc:/main.qml) L:(106) 	(2022-05-27 10:57:53) 	qrc:/main.qml:106:33: QML ShowWordPage: StackView has detected conflicting anchors. Transitions may not execute properly.
Debug:  F:() L:(0) 	(2022-05-27 10:57:53) 	context is =  ""
Warning:  F:(qrc:/qmls/Page/EditWordPage.qml) L:(68) 	(2022-05-27 10:58:00) 	qrc:/qmls/Page/EditWordPage.qml:68: ReferenceError: failRec is not defined
Warning:  F:(qrc:/main.qml) L:(107) 	(2022-05-27 10:58:00) 	qrc:/main.qml:107:33: QML EditWordPage: StackView has detected conflicting anchors. Transitions may not execute properly.
Warning:  F:(qrc:/main.qml) L:(106) 	(2022-05-27 10:58:00) 	qrc:/main.qml:106:33: QML ShowWordPage: StackView has detected conflicting anchors. Transitions may not execute properly.
Debug:  F:(qrc:/qmls/Page/EditWordPage.qml) L:(127) 	(2022-05-27 10:58:13) 	test accent =  /h?v/
Debug:  F:(qrc:/qmls/Page/EditWordPage.qml) L:(129) 	(2022-05-27 10:58:13) 	test mean =  v. 有，持有，具有；吃；做（某事）；（have to）必须，不得不；拿，取得；  aux. 现在完成式；  n. 〈口〉有产者，有钱人，富国，〈英俚〉欺骗，诈骗
Debug:  F:(qrc:/qmls/Page/EditWordPage.qml) L:(176) 	(2022-05-27 10:58:13) 	aaaa:  第三人称形式: has
